crystal_structure,density_g/cm3,melting_point_degC,boiling_point_degC,thermal_conductivity_W/(m*K),specific_heat_J/(kg*K),thermal_expansion_1e-6/K,youngs_modulus_GPa,shear_modulus_GPa,bulk_modulus_GPa,poissons_ratio,hardness_MPa,hardness_Mohs,tensile_strength_MPa,compressive_strength_MPa,fracture_toughness_MPa*m^0.5,refractive_index_o,refractive_index_e,dielectric_constant,resistivity_ohm*m,magnetic_susceptibility_cm3/mol,band_gap_eV,std_enthalpy_kJ/mol,std_entropy_J/(mol*K),Sellmeier_B1,Sellmeier_B2,Sellmeier_B3,Sellmeier_C1_um2,Sellmeier_C2_um2,Sellmeier_C3_um2,lattice_a_angstrom,lattice_b_angstrom,lattice_c_angstrom,lattice_alpha_deg,lattice_beta_deg,lattice_gamma_deg,space_group,volume_angstrom3,Z_formula_units,piezo_d11_pC/N,piezo_d14_pC/N,piezo_e11_C/m2,piezo_e14_C/m2,elastic_C11_GPa,elastic_C12_GPa,elastic_C13_GPa,elastic_C14_GPa,elastic_C33_GPa,elastic_C44_GPa,elastic_C66_GPa,molar_volume_cm3/mol,melting_point_K,boiling_point_K,thermal_expansion_parallel_1/K,thermal_expansion_perp_1/K,dielectric_constant_parallel,dielectric_constant_perp,dielectric_loss_tan_delta,thermal_conductivity_W/mK,poisson_ratio,bandgap_eV,sound_velocity_longitudinal_m/s,sound_velocity_transverse_m/s,viscosity_Pa.s,softening_point_degC,annealing_point_degC,strain_point_degC,freq_temp_coeff_ppm/C,Q_factor,debye_temp_K,formation_gibbs_kJ/mol,notes,reference
alpha-quartz,2.648,,,,,,7.97e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linear thermal expansion alpha_a=7.97e-6/K at 25C parallel to a-axis,White Am Mineral 70:531-538 (1985),,,,,,,,,,,,White Am Mineral 70:531-538 (1985)
alpha-quartz,2.648,,,,,,1.33e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linear thermal expansion alpha_c=13.3e-6/K at 25C parallel to c-axis,White Am Mineral 70:531-538 (1985),,,,,,,,,,,,White Am Mineral 70:531-538 (1985)
fused_silica,2.2,,,,,,5.5e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal expansion alpha=0.55e-6/K isotropic; very low CTE,Corning HPFS datasheet,,,,,,,,,,,,Corning HPFS datasheet
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,2.245,-174.92457758638247,,,,,,,,,,,,,,Fm-3m,23.355,,,,,,,,,,,,,,,,,,,,,,,2.245,,,,,,,,,,,OQMD DFT calculation,"OQMD:8352, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
beta-cristobalite,,,,,,,,,,,,,,,,,,,,,5.596,-296.47766544496614,,,,,,,,,,,,,,Fd-3m,101.091,,,,,,,,,,,,,,,,,,,,,,,5.596,,,,,,,,,,,OQMD DFT calculation,"OQMD:6607, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.374,-296.15577057988247,,,,,,,,,,,,,,I-42d,82.5578,,,,,,,,,,,,,,,,,,,,,,,6.374,,,,,,,,,,,OQMD DFT calculation,"OQMD:13603, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.268,-296.4218491940825,,,,,,,,,,,,,,I-42d,83.4472,,,,,,,,,,,,,,,,,,,,,,,6.268,,,,,,,,,,,OQMD DFT calculation,"OQMD:20578, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.869,-296.0147397418498,,,,,,,,,,,,,,P6422,121.159,,,,,,,,,,,,,,,,,,,,,,,5.869,,,,,,,,,,,OQMD DFT calculation,"OQMD:16288, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
beta-quartz,,,,,,,,,,,,,,,,,,,,,5.745,-296.37283813745523,,,,,,,,,,,,,,P6222,122.139,,,,,,,,,,,,,,,,,,,,,,,5.745,,,,,,,,,,,OQMD DFT calculation,"OQMD:8287, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.152,-295.76903586509974,,,,,,,,,,,,,,P3221,109.735,,,,,,,,,,,,,,,,,,,,,,,6.152,,,,,,,,,,,OQMD DFT calculation,"OQMD:15009, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.095,-295.59070081710524,,,,,,,,,,,,,,P1,109.052,,,,,,,,,,,,,,,,,,,,,,,6.095,,,,,,,,,,,OQMD DFT calculation,"OQMD:7178, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.054,-295.762002644627,,,,,,,,,,,,,,P3121,109.659,,,,,,,,,,,,,,,,,,,,,,,6.054,,,,,,,,,,,OQMD DFT calculation,"OQMD:22612, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.081,-290.8422909216552,,,,,,,,,,,,,,Cmc21,526.462,,,,,,,,,,,,,,,,,,,,,,,6.081,,,,,,,,,,,OQMD DFT calculation,"OQMD:11433, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.183,-287.73611301417395,,,,,,,,,,,,,,Pm-3n,1120.27,,,,,,,,,,,,,,,,,,,,,,,6.183,,,,,,,,,,,OQMD DFT calculation,"OQMD:21631, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
stishovite,,,,,,,,,,,,,,,,,,,,,5.643,-278.6700159453825,,,,,,,,,,,,,,P42/mnm,46.8378,,,,,,,,,,,,,,,,,,,,,,,5.643,,,,,,,,,,,OQMD DFT calculation,"OQMD:2474, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-cristobalite,,,,,,,,,,,,,,,,,,,,,5.915,-295.3082170727661,,,,,,,,,,,,,,P41212,154.543,,,,,,,,,,,,,,,,,,,,,,,5.915,,,,,,,,,,,OQMD DFT calculation,"OQMD:2494, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.546,-296.23979582859977,,,,,,,,,,,,,,C2221,178.596,,,,,,,,,,,,,,,,,,,,,,,5.546,,,,,,,,,,,OQMD DFT calculation,"OQMD:3068, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.699,-296.0233634103411,,,,,,,,,,,,,,P6322,177.553,,,,,,,,,,,,,,,,,,,,,,,5.699,,,,,,,,,,,OQMD DFT calculation,"OQMD:5729, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.989,-296.3926090128123,,,,,,,,,,,,,,Ama2,169.707,,,,,,,,,,,,,,,,,,,,,,,5.989,,,,,,,,,,,OQMD DFT calculation,"OQMD:5931, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.584,-296.5316008815825,,,,,,,,,,,,,,P63/mmc,202.177,,,,,,,,,,,,,,,,,,,,,,,5.584,,,,,,,,,,,OQMD DFT calculation,"OQMD:7376, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.606,-242.43315953096229,,,,,,,,,,,,,,Pa-3,87.805,,,,,,,,,,,,,,,,,,,,,,,4.606,,,,,,,,,,,OQMD DFT calculation,"OQMD:12695, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.966,-295.4362618338411,,,,,,,,,,,,,,Ima2,197.512,,,,,,,,,,,,,,,,,,,,,,,5.966,,,,,,,,,,,OQMD DFT calculation,"OQMD:13606, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.669,-288.56376015151227,,,,,,,,,,,,,,C2,164.448,,,,,,,,,,,,,,,,,,,,,,,5.669,,,,,,,,,,,OQMD DFT calculation,"OQMD:13609, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
coesite,,,,,,,,,,,,,,,,,,,,,6.108,-295.60454670942,,,,,,,,,,,,,,C2/c,158.897,,,,,,,,,,,,,,,,,,,,,,,6.108,,,,,,,,,,,OQMD DFT calculation,"OQMD:13607, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.806,-292.7041522913536,,,,,,,,,,,,,,P1,192.744,,,,,,,,,,,,,,,,,,,,,,,5.806,,,,,,,,,,,OQMD DFT calculation,"OQMD:13608, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.024,-295.78707799726993,,,,,,,,,,,,,,Pna21,161.146,,,,,,,,,,,,,,,,,,,,,,,6.024,,,,,,,,,,,OQMD DFT calculation,"OQMD:13604, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.921,-295.1065344772661,,,,,,,,,,,,,,P43212,153.66,,,,,,,,,,,,,,,,,,,,,,,5.921,,,,,,,,,,,OQMD DFT calculation,"OQMD:13605, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.585,-279.3605411602536,,,,,,,,,,,,,,I212121,139.308,,,,,,,,,,,,,,,,,,,,,,,5.585,,,,,,,,,,,OQMD DFT calculation,"OQMD:13611, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.884,-287.3913135883411,,,,,,,,,,,,,,Cc,142.283,,,,,,,,,,,,,,,,,,,,,,,5.884,,,,,,,,,,,OQMD DFT calculation,"OQMD:13610, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.071,-295.7523767649998,,,,,,,,,,,,,,I-4,175.569,,,,,,,,,,,,,,,,,,,,,,,6.071,,,,,,,,,,,OQMD DFT calculation,"OQMD:13602, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.627,-267.13731135662476,,,,,,,,,,,,,,Pm,125.95,,,,,,,,,,,,,,,,,,,,,,,4.627,,,,,,,,,,,OQMD DFT calculation,"OQMD:13612, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.355,-260.57714030294494,,,,,,,,,,,,,,Pc,116.874,,,,,,,,,,,,,,,,,,,,,,,4.355,,,,,,,,,,,OQMD DFT calculation,"OQMD:13613, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.004,-282.3123038707036,,,,,,,,,,,,,,I4122,170.035,,,,,,,,,,,,,,,,,,,,,,,5.004,,,,,,,,,,,OQMD DFT calculation,"OQMD:21640, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.448,-229.79321583658248,,,,,,,,,,,,,,P2/c,161.108,,,,,,,,,,,,,,,,,,,,,,,0.448,,,,,,,,,,,OQMD DFT calculation,"OQMD:21660, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,2.877,-255.43373641590364,,,,,,,,,,,,,,P2,137.683,,,,,,,,,,,,,,,,,,,,,,,2.877,,,,,,,,,,,OQMD DFT calculation,"OQMD:13614, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.892,-295.85139417463245,,,,,,,,,,,,,,P21,165.809,,,,,,,,,,,,,,,,,,,,,,,5.892,,,,,,,,,,,OQMD DFT calculation,"OQMD:19810, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,0.0,-175.39376382593022,,,,,,,,,,,,,,P-31m,266.936,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,OQMD DFT calculation,"OQMD:21663, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.782,-272.8746231802817,,,,,,,,,,,,,,R-3,839.773,,,,,,,,,,,,,,,,,,,,,,,4.782,,,,,,,,,,,OQMD DFT calculation,"OQMD:21639, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.21,-269.42769785514975,,,,,,,,,,,,,,Pbcn,90.1892,,,,,,,,,,,,,,,,,,,,,,,6.21,,,,,,,,,,,OQMD DFT calculation,"OQMD:646766, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,5.801,-265.8800893470607,,,,,,,,,,,,,,P3221,86.1152,,,,,,,,,,,,,,,,,,,,,,,5.801,,,,,,,,,,,OQMD DFT calculation,"OQMD:98203, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.314,-293.85096756067156,,,,,,,,,,,,,,P3221,104.426,,,,,,,,,,,,,,,,,,,,,,,6.314,,,,,,,,,,,OQMD DFT calculation,"OQMD:46878, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.259,-296.55204557065747,,,,,,,,,,,,,,I-42d,83.6113,,,,,,,,,,,,,,,,,,,,,,,6.259,,,,,,,,,,,OQMD DFT calculation,"OQMD:104526, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.257,-296.54184758858247,,,,,,,,,,,,,,I-42d,83.6286,,,,,,,,,,,,,,,,,,,,,,,6.257,,,,,,,,,,,OQMD DFT calculation,"OQMD:104857, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.195,-293.00945144162154,,,,,,,,,,,,,,P3221,102.734,,,,,,,,,,,,,,,,,,,,,,,6.195,,,,,,,,,,,OQMD DFT calculation,"OQMD:98209, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.317,-293.4817972969052,,,,,,,,,,,,,,P3221,103.728,,,,,,,,,,,,,,,,,,,,,,,6.317,,,,,,,,,,,OQMD DFT calculation,"OQMD:98205, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.304,-292.4231562653107,,,,,,,,,,,,,,P3221,101.87,,,,,,,,,,,,,,,,,,,,,,,6.304,,,,,,,,,,,OQMD DFT calculation,"OQMD:98210, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.655,-293.8709244108661,,,,,,,,,,,,,,C2221,150.758,,,,,,,,,,,,,,,,,,,,,,,5.655,,,,,,,,,,,OQMD DFT calculation,"OQMD:66493, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.606,-288.61579306473726,,,,,,,,,,,,,,P1,162.788,,,,,,,,,,,,,,,,,,,,,,,5.606,,,,,,,,,,,OQMD DFT calculation,"OQMD:66498, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.29,-272.5554762213998,,,,,,,,,,,,,,P1,132.943,,,,,,,,,,,,,,,,,,,,,,,5.29,,,,,,,,,,,OQMD DFT calculation,"OQMD:66500, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-cristobalite,,,,,,,,,,,,,,,,,,,,,6.025,-293.18339875383725,,,,,,,,,,,,,,P41212,148.491,,,,,,,,,,,,,,,,,,,,,,,6.025,,,,,,,,,,,OQMD DFT calculation,"OQMD:98207, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-cristobalite,,,,,,,,,,,,,,,,,,,,,6.042,-292.8213957174873,,,,,,,,,,,,,,P41212,146.378,,,,,,,,,,,,,,,,,,,,,,,6.042,,,,,,,,,,,OQMD DFT calculation,"OQMD:98208, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.396,-284.6749487093661,,,,,,,,,,,,,,P1,159.829,,,,,,,,,,,,,,,,,,,,,,,5.396,,,,,,,,,,,OQMD DFT calculation,"OQMD:66497, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.933,-295.62103856885363,,,,,,,,,,,,,,Fddd,161.791,,,,,,,,,,,,,,,,,,,,,,,5.933,,,,,,,,,,,OQMD DFT calculation,"OQMD:111557, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.859,-289.9540212805661,,,,,,,,,,,,,,C2,165.41,,,,,,,,,,,,,,,,,,,,,,,5.859,,,,,,,,,,,OQMD DFT calculation,"OQMD:66495, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.501,-282.22070503191225,,,,,,,,,,,,,,P1,161.975,,,,,,,,,,,,,,,,,,,,,,,5.501,,,,,,,,,,,OQMD DFT calculation,"OQMD:66499, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.204,-293.9447275026552,,,,,,,,,,,,,,P32,104.648,,,,,,,,,,,,,,,,,,,,,,,6.204,,,,,,,,,,,OQMD DFT calculation,"OQMD:98212, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.227,-292.78657473661065,,,,,,,,,,,,,,P1,102.499,,,,,,,,,,,,,,,,,,,,,,,6.227,,,,,,,,,,,OQMD DFT calculation,"OQMD:53944, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.848,-274.9253022778036,,,,,,,,,,,,,,P1,147.548,,,,,,,,,,,,,,,,,,,,,,,4.848,,,,,,,,,,,OQMD DFT calculation,"OQMD:66502, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.444,-275.97472869708247,,,,,,,,,,,,,,P1,125.974,,,,,,,,,,,,,,,,,,,,,,,5.444,,,,,,,,,,,OQMD DFT calculation,"OQMD:66501, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.036,-295.7561504005552,,,,,,,,,,,,,,P32,109.65,,,,,,,,,,,,,,,,,,,,,,,6.036,,,,,,,,,,,OQMD DFT calculation,"OQMD:108200, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.313,-291.03859576487156,,,,,,,,,,,,,,P3221,100.144,,,,,,,,,,,,,,,,,,,,,,,6.313,,,,,,,,,,,OQMD DFT calculation,"OQMD:98204, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.153,-295.86060602640526,,,,,,,,,,,,,,P3221,110.158,,,,,,,,,,,,,,,,,,,,,,,6.153,,,,,,,,,,,OQMD DFT calculation,"OQMD:98213, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.819,-296.35768039755743,,,,,,,,,,,,,,C2221,177.749,,,,,,,,,,,,,,,,,,,,,,,5.819,,,,,,,,,,,OQMD DFT calculation,"OQMD:104860, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.101,-294.0183346226879,,,,,,,,,,,,,,R-3,258.692,,,,,,,,,,,,,,,,,,,,,,,6.101,,,,,,,,,,,OQMD DFT calculation,"OQMD:26762, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
coesite,,,,,,,,,,,,,,,,,,,,,5.947,-295.5140860988129,,,,,,,,,,,,,,C2/c,218.59,,,,,,,,,,,,,,,,,,,,,,,5.947,,,,,,,,,,,OQMD DFT calculation,"OQMD:60902, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
coesite,,,,,,,,,,,,,,,,,,,,,5.817,-272.8361064888879,,,,,,,,,,,,,,C2/c,143.046,,,,,,,,,,,,,,,,,,,,,,,5.817,,,,,,,,,,,OQMD DFT calculation,"OQMD:47016, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
alpha-quartz,,,,,,,,,,,,,,,,,,,,,6.183,-295.41252990081614,,,,,,,,,,,,,,P3221,108.504,,,,,,,,,,,,,,,,,,,,,,,6.183,,,,,,,,,,,OQMD DFT calculation,"OQMD:108201, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.484,-286.4157964479536,,,,,,,,,,,,,,C2,143.887,,,,,,,,,,,,,,,,,,,,,,,5.484,,,,,,,,,,,OQMD DFT calculation,"OQMD:66496, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.102,-274.0147811856107,,,,,,,,,,,,,,P21/c,137.93,,,,,,,,,,,,,,,,,,,,,,,6.102,,,,,,,,,,,OQMD DFT calculation,"OQMD:676440, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
coesite,,,,,,,,,,,,,,,,,,,,,5.855,-293.4945660548012,,,,,,,,,,,,,,C2/c,272.63,,,,,,,,,,,,,,,,,,,,,,,5.855,,,,,,,,,,,OQMD DFT calculation,"OQMD:3704, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.077,-293.117418330831,,,,,,,,,,,,,,P21/c,289.251,,,,,,,,,,,,,,,,,,,,,,,6.077,,,,,,,,,,,OQMD DFT calculation,"OQMD:16001, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,6.026,-294.2517662640724,,,,,,,,,,,,,,Ia-3,297.072,,,,,,,,,,,,,,,,,,,,,,,6.026,,,,,,,,,,,OQMD DFT calculation,"OQMD:21658, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.777,-280.4410562927973,,,,,,,,,,,,,,I4122,362.005,,,,,,,,,,,,,,,,,,,,,,,4.777,,,,,,,,,,,OQMD DFT calculation,"OQMD:21650, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,1.0,-233.67427559342477,,,,,,,,,,,,,,Pcca,308.48,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,OQMD DFT calculation,"OQMD:21662, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.1,-273.2906826347185,,,,,,,,,,,,,,Pnnn,335.505,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,OQMD DFT calculation,"OQMD:21651, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,1.44,-221.10691615747234,,,,,,,,,,,,,,Pban,318.018,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,OQMD DFT calculation,"OQMD:21652, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.772,-295.2763016438599,,,,,,,,,,,,,,Pccn,319.062,,,,,,,,,,,,,,,,,,,,,,,5.772,,,,,,,,,,,OQMD DFT calculation,"OQMD:21659, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
beta-cristobalite,,,,,,,,,,,,,,,,,,,,,7.058,-284.7100273185935,,,,,,,,,,,,,,Fd-3m,863.655,,,,,,,,,,,,,,,,,,,,,,,7.058,,,,,,,,,,,OQMD DFT calculation,"OQMD:21627, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.133,-277.91883945547,,,,,,,,,,,,,,P42/mcm,358.311,,,,,,,,,,,,,,,,,,,,,,,5.133,,,,,,,,,,,OQMD DFT calculation,"OQMD:21634, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.62,-296.2657806863748,,,,,,,,,,,,,,I-4c2,434.081,,,,,,,,,,,,,,,,,,,,,,,5.62,,,,,,,,,,,OQMD DFT calculation,"OQMD:21644, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,5.506,-296.37027418258725,,,,,,,,,,,,,,Cmcm,432.37,,,,,,,,,,,,,,,,,,,,,,,5.506,,,,,,,,,,,OQMD DFT calculation,"OQMD:21633, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
SiO2_OQMD,,,,,,,,,,,,,,,,,,,,,4.703,-281.3647579730286,,,,,,,,,,,,,,Ccca,354.59,,,,,,,,,,,,,,,,,,,,,,,4.703,,,,,,,,,,,OQMD DFT calculation,"OQMD:21649, Saal et al. JOM 65, 1501 (2013), DOI:10.1007/s11837-013-0755-4"
