structure_id,entry_id,prototype,strukturbericht,formula_type,space_group_number,crystal_system,lattice_a,lattice_b,lattice_c,volume_per_atom,space_group
struct_oqmd_11006,oqmd_11006,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11012,oqmd_11012,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11019,oqmd_11019,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11022,oqmd_11022,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11024,oqmd_11024,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11031,oqmd_11031,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_110794,oqmd_110794,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_110795,oqmd_110795,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11110,oqmd_11110,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11111,oqmd_11111,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11114,oqmd_11114,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11117,oqmd_11117,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11128,oqmd_11128,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11137,oqmd_11137,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11138,oqmd_11138,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11139,oqmd_11139,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11150,oqmd_11150,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11151,oqmd_11151,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11153,oqmd_11153,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11157,oqmd_11157,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11158,oqmd_11158,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11159,oqmd_11159,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11161,oqmd_11161,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11162,oqmd_11162,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11165,oqmd_11165,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11166,oqmd_11166,NaCl,B1,AB,,cubic,,,,30.5033,Fm-3m
struct_oqmd_11168,oqmd_11168,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11171,oqmd_11171,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11173,oqmd_11173,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11174,oqmd_11174,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11175,oqmd_11175,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11176,oqmd_11176,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11177,oqmd_11177,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11180,oqmd_11180,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11181,oqmd_11181,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11301,oqmd_11301,NaCl,B1,AB,,cubic,,,,21.3686,Fm-3m
struct_oqmd_11312,oqmd_11312,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11321,oqmd_11321,NaCl,B1,AB,,cubic,,,,42.9203,Fm-3m
struct_oqmd_114593,oqmd_114593,NiAs,B8_1,AB,,cubic,,,,45.1994,P63/mmc
struct_oqmd_11469,oqmd_11469,NaCl,B1,AB,,cubic,,,,9.1428,Fm-3m
struct_oqmd_11505,oqmd_11505,NaCl,B1,AB,,cubic,,,,48.6854,Fm-3m
struct_oqmd_11506,oqmd_11506,NaCl,B1,AB,,cubic,,,,60.106,Fm-3m
struct_oqmd_11507,oqmd_11507,NaCl,B1,AB,,cubic,,,,34.2327,Fm-3m
struct_oqmd_11508,oqmd_11508,NaCl,B1,AB,,cubic,,,,36.6265,Fm-3m
struct_oqmd_11509,oqmd_11509,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11510,oqmd_11510,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11511,oqmd_11511,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11512,oqmd_11512,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11514,oqmd_11514,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11516,oqmd_11516,NaCl,B1,AB,,cubic,,,,10.9134,Fm-3m
struct_oqmd_11517,oqmd_11517,NaCl,B1,AB,,cubic,,,,11.2061,Fm-3m
struct_oqmd_11589,oqmd_11589,NaCl,B1,AB,,cubic,,,,26.9519,Fm-3m
struct_oqmd_11590,oqmd_11590,NaCl,B1,AB,,cubic,,,,19.8459,Fm-3m
struct_oqmd_11602,oqmd_11602,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116025,oqmd_116025,NiAs,B8_1,AB,,cubic,,,,20.0909,Cmc21
struct_oqmd_116062,oqmd_116062,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116118,oqmd_116118,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116119,oqmd_116119,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116120,oqmd_116120,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116121,oqmd_116121,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116122,oqmd_116122,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116222,oqmd_116222,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116234,oqmd_116234,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116235,oqmd_116235,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116608,oqmd_116608,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116636,oqmd_116636,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_116945,oqmd_116945,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_117131,oqmd_117131,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_117262,oqmd_117262,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11906,oqmd_11906,NaCl,B1,AB,,cubic,,,,25.0934,Fm-3m
struct_oqmd_121204,oqmd_121204,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_12625,oqmd_12625,NaCl,B1,AB,,cubic,,,,31.6042,Fm-3m
struct_oqmd_13641,oqmd_13641,NaCl,B1,AB,,cubic,,,,12.1485,Fm-3m
struct_oqmd_13677,oqmd_13677,NaCl,B1,AB,,cubic,,,,14.1136,Fm-3m
struct_oqmd_13692,oqmd_13692,NiAs,B8_1,AB,,cubic,,,,37.4483,P63/mmc
struct_oqmd_13700,oqmd_13700,NaCl,B1,AB,,cubic,,,,23.4228,Fm-3m
struct_oqmd_13703,oqmd_13703,NaCl,B1,AB,,cubic,,,,29.702,Fm-3m
struct_oqmd_13749,oqmd_13749,NiAs,B8_1,AB,,cubic,,,,44.044,P63/mmc
struct_oqmd_13762,oqmd_13762,NaCl,B1,AB,,cubic,,,,10.6996,Fm-3m
struct_oqmd_13795,oqmd_13795,NaCl,B1,AB,,cubic,,,,25.5511,Fm-3m
struct_oqmd_13829,oqmd_13829,NaCl,B1,AB,,cubic,,,,19.9646,Fm-3m
struct_oqmd_13920,oqmd_13920,NaCl,B1,AB,,cubic,,,,15.2088,Fm-3m
struct_oqmd_13939,oqmd_13939,NaCl,B1,AB,,cubic,,,,15.3844,Fm-3m
struct_oqmd_13946,oqmd_13946,NaCl,B1,AB,,cubic,,,,10.3128,Fm-3m
struct_oqmd_13989,oqmd_13989,NaCl,B1,AB,,cubic,,,,11.4904,Fm-3m
struct_oqmd_13991,oqmd_13991,NaCl,B1,AB,,cubic,,,,16.1837,Fm-3m
struct_oqmd_13998,oqmd_13998,NaCl,B1,AB,,cubic,,,,15.0404,Fm-3m
struct_oqmd_14013,oqmd_14013,NaCl,B1,AB,,cubic,,,,22.5006,Fm-3m
struct_oqmd_14014,oqmd_14014,NaCl,B1,AB,,cubic,,,,21.7894,Fm-3m
struct_oqmd_14025,oqmd_14025,NaCl,B1,AB,,cubic,,,,21.7183,Fm-3m
struct_oqmd_14029,oqmd_14029,NaCl,B1,AB,,cubic,,,,22.7936,Fm-3m
struct_oqmd_14032,oqmd_14032,NaCl,B1,AB,,cubic,,,,18.6231,Fm-3m
struct_oqmd_14034,oqmd_14034,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_14035,oqmd_14035,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_14036,oqmd_14036,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_14050,oqmd_14050,NaCl,B1,AB,,cubic,,,,24.3702,Fm-3m
struct_oqmd_14051,oqmd_14051,NaCl,B1,AB,,cubic,,,,33.4153,Fm-3m
struct_oqmd_14052,oqmd_14052,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_14069,oqmd_14069,NaCl,B1,AB,,cubic,,,,25.2779,Fm-3m
struct_oqmd_14102,oqmd_14102,NaCl,B1,AB,,cubic,,,,16.5225,Fm-3m
struct_oqmd_14105,oqmd_14105,NaCl,B1,AB,,cubic,,,,19.292,Fm-3m
struct_oqmd_15014,oqmd_15014,NiAs,B8_1,AB,,cubic,,,,35.1174,P63/mmc
struct_oqmd_16686,oqmd_16686,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17062,oqmd_17062,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17067,oqmd_17067,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17075,oqmd_17075,L12,L12,A3B,,cubic,,,,,P4/mmm
struct_oqmd_17084,oqmd_17084,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17090,oqmd_17090,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17121,oqmd_17121,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17159,oqmd_17159,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17179,oqmd_17179,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17183,oqmd_17183,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17187,oqmd_17187,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17190,oqmd_17190,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17196,oqmd_17196,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17206,oqmd_17206,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17207,oqmd_17207,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17212,oqmd_17212,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17221,oqmd_17221,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17227,oqmd_17227,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17231,oqmd_17231,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17248,oqmd_17248,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17263,oqmd_17263,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17264,oqmd_17264,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17283,oqmd_17283,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17286,oqmd_17286,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17297,oqmd_17297,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17300,oqmd_17300,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17303,oqmd_17303,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17320,oqmd_17320,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17333,oqmd_17333,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17342,oqmd_17342,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17351,oqmd_17351,NiAs,B8_1,AB,,cubic,,,,43.2191,P63/mmc
struct_oqmd_17352,oqmd_17352,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17354,oqmd_17354,NiAs,B8_1,AB,,cubic,,,,48.3242,P63/mmc
struct_oqmd_17360,oqmd_17360,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17363,oqmd_17363,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17380,oqmd_17380,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17383,oqmd_17383,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17386,oqmd_17386,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17387,oqmd_17387,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17389,oqmd_17389,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17392,oqmd_17392,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17397,oqmd_17397,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17402,oqmd_17402,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17404,oqmd_17404,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17406,oqmd_17406,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17407,oqmd_17407,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17413,oqmd_17413,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17419,oqmd_17419,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17424,oqmd_17424,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17427,oqmd_17427,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17429,oqmd_17429,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17432,oqmd_17432,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17437,oqmd_17437,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17439,oqmd_17439,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17440,oqmd_17440,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17441,oqmd_17441,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17443,oqmd_17443,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17446,oqmd_17446,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17450,oqmd_17450,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17454,oqmd_17454,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17455,oqmd_17455,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17457,oqmd_17457,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17459,oqmd_17459,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17460,oqmd_17460,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17465,oqmd_17465,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17467,oqmd_17467,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17468,oqmd_17468,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17472,oqmd_17472,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17474,oqmd_17474,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17477,oqmd_17477,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17479,oqmd_17479,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17480,oqmd_17480,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17481,oqmd_17481,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17484,oqmd_17484,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17486,oqmd_17486,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17492,oqmd_17492,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17502,oqmd_17502,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17504,oqmd_17504,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17507,oqmd_17507,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17508,oqmd_17508,NiAs,B8_1,AB,,cubic,,,,43.0384,P63/mmc
struct_oqmd_17512,oqmd_17512,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17514,oqmd_17514,NiAs,B8_1,AB,,cubic,,,,39.7876,P63/mmc
struct_oqmd_17518,oqmd_17518,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17524,oqmd_17524,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17525,oqmd_17525,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17529,oqmd_17529,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17533,oqmd_17533,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17536,oqmd_17536,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17538,oqmd_17538,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17541,oqmd_17541,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17544,oqmd_17544,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17558,oqmd_17558,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17568,oqmd_17568,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17569,oqmd_17569,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17573,oqmd_17573,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17578,oqmd_17578,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17579,oqmd_17579,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17580,oqmd_17580,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17581,oqmd_17581,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17582,oqmd_17582,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17583,oqmd_17583,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17590,oqmd_17590,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17596,oqmd_17596,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17610,oqmd_17610,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17612,oqmd_17612,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17620,oqmd_17620,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17621,oqmd_17621,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17622,oqmd_17622,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17624,oqmd_17624,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17625,oqmd_17625,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17627,oqmd_17627,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17628,oqmd_17628,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17629,oqmd_17629,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17630,oqmd_17630,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17638,oqmd_17638,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17640,oqmd_17640,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17646,oqmd_17646,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17650,oqmd_17650,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17655,oqmd_17655,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17657,oqmd_17657,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17660,oqmd_17660,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17661,oqmd_17661,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17663,oqmd_17663,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17671,oqmd_17671,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17672,oqmd_17672,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17677,oqmd_17677,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17681,oqmd_17681,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17682,oqmd_17682,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17686,oqmd_17686,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17687,oqmd_17687,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17700,oqmd_17700,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17703,oqmd_17703,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17704,oqmd_17704,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17720,oqmd_17720,NiAs,B8_1,AB,,cubic,,,,21.6667,P63/mmc
struct_oqmd_17728,oqmd_17728,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17747,oqmd_17747,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17750,oqmd_17750,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17752,oqmd_17752,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17759,oqmd_17759,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17764,oqmd_17764,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17765,oqmd_17765,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17769,oqmd_17769,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17775,oqmd_17775,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17776,oqmd_17776,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17777,oqmd_17777,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17779,oqmd_17779,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17780,oqmd_17780,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17795,oqmd_17795,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17803,oqmd_17803,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17808,oqmd_17808,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17838,oqmd_17838,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17841,oqmd_17841,NiAs,B8_1,AB,,cubic,,,,37.8874,P63/mmc
struct_oqmd_17860,oqmd_17860,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17872,oqmd_17872,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17873,oqmd_17873,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17875,oqmd_17875,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17876,oqmd_17876,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17877,oqmd_17877,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17890,oqmd_17890,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17895,oqmd_17895,NaCl,B1,AB,,cubic,,,,12.1555,Fm-3m
struct_oqmd_17898,oqmd_17898,NaCl,B1,AB,,cubic,,,,9.6069,Fm-3m
struct_oqmd_17904,oqmd_17904,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17906,oqmd_17906,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17907,oqmd_17907,NaCl,B1,AB,,cubic,,,,18.7363,Fm-3m
struct_oqmd_17908,oqmd_17908,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17912,oqmd_17912,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17913,oqmd_17913,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17914,oqmd_17914,NiAs,B8_1,AB,,cubic,,,,46.3147,P63/mmc
struct_oqmd_17915,oqmd_17915,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17917,oqmd_17917,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17918,oqmd_17918,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17926,oqmd_17926,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17928,oqmd_17928,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17929,oqmd_17929,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17931,oqmd_17931,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17934,oqmd_17934,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17937,oqmd_17937,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17940,oqmd_17940,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17943,oqmd_17943,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17944,oqmd_17944,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17945,oqmd_17945,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17947,oqmd_17947,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17954,oqmd_17954,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17965,oqmd_17965,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_1797,oqmd_1797,NaCl,B1,AB,,cubic,,,,10.9009,Fm-3m
struct_oqmd_17970,oqmd_17970,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17972,oqmd_17972,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17980,oqmd_17980,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17981,oqmd_17981,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17986,oqmd_17986,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17987,oqmd_17987,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17988,oqmd_17988,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17994,oqmd_17994,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_17995,oqmd_17995,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_17997,oqmd_17997,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_18000,oqmd_18000,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_18004,oqmd_18004,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_18012,oqmd_18012,L12,L12,A3B,,cubic,,,,,Pm-3m
